id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,chrt,sex,subpop
22,0,PB,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
23,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,NA
24,0,PB,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,BO
25,0,PB,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,BO
26,0,PB,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,GG
27,0,PB,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,BO
28,0,PB,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
29,0,PB,0,0,PB,PB,PB,PB,PB,0,B,PO,PO,B,B,0,0,0,B,0,0,0,0,2001,Male,GG
30,0,PB,0,0,0,0,PB,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
31,0,PB,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
32,0,PB,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,GG
33,0,PB,0,PB,0,PB,PB,PB,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
34,0,PB,0,PB,PB,PB,PB,PB,PB,PB,PB,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
35,0,PB,0,B,0,0,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,GG
36,0,PB,0,B,B,B,B,B,B,B,B,B,B,B,B,0,0,0,0,0,0,0,0,2001,Female,NA
37,0,PB,0,B,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
38,0,PB,0,0,B,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,GG
39,0,PB,0,PB,B,B,B,B,B,B,B,PO,B,B,B,B,B,B,B,B,B,B,B,2001,Female,NA
40,0,PB,0,0,B,B,B,B,B,B,B,PO,B,B,B,0,0,0,0,0,0,0,0,2001,Male,GG
41,0,PB,0,0,B,B,B,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,NA
42,0,PB,0,PB,B,0,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,GG
43,0,PB,0,PB,B,B,B,B,B,B,B,B,B,0,0,0,0,0,0,0,0,0,0,2001,Male,GG
44,0,PB,0,0,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,NA
45,0,PB,0,0,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,NA
46,0,PB,0,PB,B,B,B,B,B,B,PO,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
47,0,PB,0,PB,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
48,0,PB,0,0,B,B,B,B,B,B,B,B,B,PO,B,0,0,0,0,0,0,0,0,2001,Male,GG
49,0,PB,0,PB,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,NA
50,0,PB,0,PB,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,NA
51,0,PB,0,PB,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,NA
52,0,PB,0,PB,PB,B,B,B,PO,PO,B,PO,B,B,0,B,B,B,B,PO,0,PO,0,2001,Female,GG
53,0,PB,0,PB,0,B,B,B,B,B,B,B,B,PO,B,B,B,B,B,B,B,B,0,2001,Female,NA
54,0,PB,0,PB,0,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0,2001,Female,BO
55,0,PB,0,PB,PB,B,PO,B,0,0,PO,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
56,0,PB,0,0,PB,B,PO,B,0,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,GG
57,0,PB,0,0,B,0,B,B,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,NA
58,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,GG
59,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Female,NA
60,0,0,PB,0,0,PB,PB,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,NA
61,0,0,PB,PB,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,NA
62,0,0,PB,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,NA
63,0,0,PB,PB,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,NA
64,0,0,PB,0,0,PB,PB,0,PB,PB,PB,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,BO
65,0,0,PB,0,0,0,PB,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
66,0,0,PB,0,0,0,PB,0,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,BO
67,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,UNK,BO
68,0,0,PB,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
69,0,0,PB,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,GG
70,0,0,PB,PB,0,PB,PB,PB,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
71,0,0,PB,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
72,0,0,PB,PB,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,NA
73,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,UNK,GG
74,0,0,PB,0,0,0,PB,PB,B,B,B,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
75,0,0,PB,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,NA
76,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,UNK,GG
77,0,0,PB,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,GG
78,0,0,PB,0,0,0,PB,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
79,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,GG
80,0,0,PB,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,GG
81,0,0,PB,0,B,B,B,B,B,B,B,B,B,B,B,B,B,PO,B,B,B,0,B,2002,Female,GG
82,0,0,PB,PB,B,B,B,B,B,B,PO,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,NA
83,0,0,PB,0,B,B,B,B,B,B,B,B,0,0,0,0,0,0,0,0,0,0,0,2002,Male,GG
84,0,0,PB,0,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0,0,2002,Female,GG
85,0,0,PB,PB,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
86,0,0,PB,0,0,B,B,B,B,B,B,B,B,PO,0,0,0,0,0,0,0,0,0,2002,Female,GG
87,0,0,PB,0,PB,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0,2002,Female,GG
88,0,0,PB,PB,PB,B,B,B,B,B,B,B,B,B,PO,PO,B,B,0,0,B,0,0,2002,Female,NA
89,0,0,PB,0,PB,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,PO,0,2002,Female,GG
90,0,0,PB,PB,PB,B,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,NA
91,0,0,PB,0,PB,B,B,B,B,B,B,B,B,B,B,B,0,0,0,0,0,0,0,2002,Male,GG
92,0,0,PB,0,PB,B,B,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,NA
93,0,0,PB,0,0,B,B,B,B,B,B,B,0,B,B,0,0,0,0,0,0,0,0,2002,Male,GG
94,0,0,PB,PB,PB,0,B,B,B,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Male,GG
95,0,0,PB,0,PB,0,B,B,B,PO,B,B,B,B,0,B,0,0,0,0,0,0,0,2002,Male,BO
96,0,0,PB,PB,PB,PB,B,B,B,B,B,B,PO,B,B,B,B,0,0,0,0,0,0,2002,Male,NA
97,0,0,PB,0,0,PB,B,B,B,B,PO,B,B,B,0,B,0,0,0,0,0,0,0,2002,Male,GG
98,0,0,PB,0,PB,PB,PB,B,B,B,PO,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
99,0,0,PB,0,B,0,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Female,GG
